extractor,detector,auc_roc,auc_pr
raw-cnn,knn,0.6708780189815939,0.7005364580505193
raw-cnn,mahalanobis,0.6859839609578018,0.6396868053958
raw-cnn,ocsvm,0.4045567851779917,0.5483619809300126
yatc,knn,0.4988334592178972,0.6421191685767691
yatc,mahalanobis,0.4397606192621366,0.584323538529396
yatc,ocsvm,0.6407724501632004,0.6786034450257632
etbert,knn,0.7612447645509068,0.8144580802241347
etbert,mahalanobis,0.5649004005826658,0.6968486031248915
etbert,ocsvm,0.6914156056396284,0.7666677991871758
netfound,knn,0.9181755460242956,0.9309950999727884
netfound,mahalanobis,0.8345462693210326,0.8437041370275241
netfound,ocsvm,0.7823485114150324,0.8261399375384793
nfstream-common,knn,0.7897285164504149,0.848442135978638
nfstream-common,mahalanobis,0.8412131888807963,0.8518222846170809
nfstream-common,ocsvm,0.4887742496380818,0.7039194073931434
nfstream-native,knn,0.8414160035247679,0.9090374627524792
nfstream-native,mahalanobis,0.9123092938775144,0.9308874014657768
nfstream-native,ocsvm,0.7315465368257308,0.8576850743872843
