extractor,k,seed,n_train,macro_f1
raw-cnn,1,0,15,0.4041286181821355
raw-cnn,1,1,15,0.2890579035857115
raw-cnn,1,2,15,0.3244057783200602
raw-cnn,1,3,15,0.2570951359627865
raw-cnn,1,4,15,0.3559597541765199
raw-cnn,5,0,71,0.4750028465748107
raw-cnn,5,1,71,0.4832617441706816
raw-cnn,5,2,71,0.4670184879649064
raw-cnn,5,3,71,0.5048615464070717
raw-cnn,5,4,71,0.4403270805374814
raw-cnn,10,0,141,0.4892591351117061
raw-cnn,10,1,141,0.519375155814043
raw-cnn,10,2,141,0.5122057389262935
raw-cnn,10,3,141,0.528063354047022
raw-cnn,10,4,141,0.5033054990737391
raw-cnn,50,0,639,0.5717832302125767
raw-cnn,50,1,639,0.5822578085670553
raw-cnn,50,2,639,0.5535116919992494
raw-cnn,50,3,639,0.5734520957926748
raw-cnn,50,4,639,0.5767937028567924
raw-cnn,100,0,1239,0.6012352029814841
raw-cnn,100,1,1239,0.5964437291713872
raw-cnn,100,2,1239,0.6009300683979971
raw-cnn,100,3,1239,0.5977176957662936
raw-cnn,100,4,1239,0.5845306531606739
yatc,1,0,15,0.2924773847015098
yatc,1,1,15,0.3279040435588963
yatc,1,2,15,0.344837148517745
yatc,1,3,15,0.2873346638984486
yatc,1,4,15,0.308660312809017
yatc,5,0,71,0.4817819195031076
yatc,5,1,71,0.4927023955598451
yatc,5,2,71,0.5127375284222585
yatc,5,3,71,0.5052652482745492
yatc,5,4,71,0.5444422400714644
yatc,10,0,141,0.5379207677954726
yatc,10,1,141,0.516490383583019
yatc,10,2,141,0.5815332094383121
yatc,10,3,141,0.5874536564721871
yatc,10,4,141,0.5900853805879664
yatc,50,0,639,0.6708430173406175
yatc,50,1,639,0.6574408047410845
yatc,50,2,639,0.6761121737585671
yatc,50,3,639,0.6634664166871581
yatc,50,4,639,0.6669987927548306
yatc,100,0,1239,0.6908907599772571
yatc,100,1,1239,0.7025648366822783
yatc,100,2,1239,0.6970728892608347
yatc,100,3,1239,0.7042958861717259
yatc,100,4,1239,0.6860878180228269
etbert,1,0,15,0.3445341045468703
etbert,1,1,15,0.301833841033396
etbert,1,2,15,0.2517468080140886
etbert,1,3,15,0.2686642394810978
etbert,1,4,15,0.2208906499087647
etbert,5,0,71,0.4339718556175679
etbert,5,1,71,0.4537448855189686
etbert,5,2,71,0.4569272422262405
etbert,5,3,71,0.4641018465192387
etbert,5,4,71,0.4285064529596412
etbert,10,0,141,0.5146789117056669
etbert,10,1,141,0.5149871288841481
etbert,10,2,141,0.5230144814378305
etbert,10,3,141,0.4797003973817303
etbert,10,4,141,0.5023684185139733
etbert,50,0,639,0.6287967515748591
etbert,50,1,639,0.6472553510536948
etbert,50,2,639,0.6319116802858019
etbert,50,3,639,0.631766474874064
etbert,50,4,639,0.6203463565862138
etbert,100,0,1239,0.6632192585428496
etbert,100,1,1239,0.6703580415712582
etbert,100,2,1239,0.6738995132034986
etbert,100,3,1239,0.688907440508228
etbert,100,4,1239,0.7105277569651898
netfound,1,0,15,0.4314968213747912
netfound,1,1,15,0.4377280136932857
netfound,1,2,15,0.3992831085025087
netfound,1,3,15,0.4047489505262887
netfound,1,4,15,0.3952132546511315
netfound,5,0,71,0.5684887981124643
netfound,5,1,71,0.5336289102964915
netfound,5,2,71,0.5660612010119822
netfound,5,3,71,0.5778379908860674
netfound,5,4,71,0.5584016521670099
netfound,10,0,141,0.5946288815968152
netfound,10,1,141,0.5946597759286
netfound,10,2,141,0.6156126449265508
netfound,10,3,141,0.5846931276477456
netfound,10,4,141,0.6114695503513758
netfound,50,0,639,0.6753901640087199
netfound,50,1,639,0.668965825966297
netfound,50,2,639,0.6743664822668941
netfound,50,3,639,0.6699343684155415
netfound,50,4,639,0.6746180203918047
netfound,100,0,1239,0.6952345725521721
netfound,100,1,1239,0.6953742173928177
netfound,100,2,1239,0.6795728944893539
netfound,100,3,1239,0.6918947427149228
netfound,100,4,1239,0.6917877345159341
nfstream-common,1,0,15,0.160013285458787
nfstream-common,1,1,15,0.1926322882608828
nfstream-common,1,2,15,0.1717839591048425
nfstream-common,1,3,15,0.1666975929721676
nfstream-common,1,4,15,0.1095593556635676
nfstream-common,5,0,71,0.2341509837041884
nfstream-common,5,1,71,0.2118956220888993
nfstream-common,5,2,71,0.1727316443440577
nfstream-common,5,3,71,0.20773620160622
nfstream-common,5,4,71,0.1591343276243941
nfstream-common,10,0,141,0.4190032939848289
nfstream-common,10,1,141,0.2502613389333089
nfstream-common,10,2,141,0.2552417843162213
nfstream-common,10,3,141,0.2311978105064509
nfstream-common,10,4,141,0.3458071545924461
nfstream-common,50,0,639,0.4339682155275584
nfstream-common,50,1,639,0.4733284557486948
nfstream-common,50,2,639,0.5143456363640351
nfstream-common,50,3,639,0.4571128485208085
nfstream-common,50,4,639,0.4481214992348356
nfstream-common,100,0,1239,0.4806697279277805
nfstream-common,100,1,1239,0.5178352622119192
nfstream-common,100,2,1239,0.5078433329724918
nfstream-common,100,3,1239,0.4942734258832793
nfstream-common,100,4,1239,0.46043373161815
nfstream-native,1,0,15,0.5439489256316837
nfstream-native,1,1,15,0.4472180056962877
nfstream-native,1,2,15,0.481311534440372
nfstream-native,1,3,15,0.4163904075441536
nfstream-native,1,4,15,0.438050083876675
nfstream-native,5,0,71,0.5834133376297952
nfstream-native,5,1,71,0.5626439624142479
nfstream-native,5,2,71,0.5612732782772166
nfstream-native,5,3,71,0.5840155985005746
nfstream-native,5,4,71,0.5963684618497739
nfstream-native,10,0,141,0.6320588405476203
nfstream-native,10,1,141,0.5569170232700599
nfstream-native,10,2,141,0.6249653449361516
nfstream-native,10,3,141,0.6014251284357323
nfstream-native,10,4,141,0.6080937559113034
nfstream-native,50,0,639,0.636577060844021
nfstream-native,50,1,639,0.6917479231957414
nfstream-native,50,2,639,0.6521930211382242
nfstream-native,50,3,639,0.6436055576605819
nfstream-native,50,4,639,0.6267356657590841
nfstream-native,100,0,1239,0.6462787928775402
nfstream-native,100,1,1239,0.692032130643162
nfstream-native,100,2,1239,0.6529070503446348
nfstream-native,100,3,1239,0.6457984971032117
nfstream-native,100,4,1239,0.6494744065000301
