day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,nfstream,zeek,ALL,337293,250220,24226,1004,61843
Wednesday,nfstream,zeek,BENIGN,306188,237229,6933,234,61792
Wednesday,nfstream,zeek,DoS GoldenEye,7656,7565,73,18,0
Wednesday,nfstream,zeek,DoS Hulk,14437,180,14242,1,14
Wednesday,nfstream,zeek,DoS Slowhttptest,4496,1507,2976,2,11
Wednesday,nfstream,zeek,DoS slowloris,4515,3738,2,749,26
Wednesday,nfstream,zeek,Heartbleed,1,1,0,0,0
Wednesday,nfstream,tranalyzer,ALL,337293,251557,14730,9885,61121
Wednesday,nfstream,tranalyzer,BENIGN,306188,236436,488,8187,61077
Wednesday,nfstream,tranalyzer,DoS GoldenEye,7656,7414,0,242,0
Wednesday,nfstream,tranalyzer,DoS Hulk,14437,31,14242,150,14
Wednesday,nfstream,tranalyzer,DoS Slowhttptest,4496,3935,0,557,4
Wednesday,nfstream,tranalyzer,DoS slowloris,4515,3740,0,749,26
Wednesday,nfstream,tranalyzer,Heartbleed,1,1,0,0,0
Wednesday,nfstream,cicflowmeter-orig,ALL,337293,80729,58740,0,197824
Wednesday,nfstream,cicflowmeter-orig,BENIGN,306188,68637,40733,0,196818
Wednesday,nfstream,cicflowmeter-orig,DoS GoldenEye,7656,4726,2843,0,87
Wednesday,nfstream,cicflowmeter-orig,DoS Hulk,14437,2,14249,0,186
Wednesday,nfstream,cicflowmeter-orig,DoS Slowhttptest,4496,3601,615,0,280
Wednesday,nfstream,cicflowmeter-orig,DoS slowloris,4515,3763,299,0,453
Wednesday,nfstream,cicflowmeter-orig,Heartbleed,1,0,1,0,0
Wednesday,nfstream,cicflowmeter-fixed,ALL,337293,250157,24497,6,62633
Wednesday,nfstream,cicflowmeter-fixed,BENIGN,306188,234500,9498,6,62184
Wednesday,nfstream,cicflowmeter-fixed,DoS GoldenEye,7656,7646,1,0,9
Wednesday,nfstream,cicflowmeter-fixed,DoS Hulk,14437,181,14242,0,14
Wednesday,nfstream,cicflowmeter-fixed,DoS Slowhttptest,4496,3926,559,0,11
Wednesday,nfstream,cicflowmeter-fixed,DoS slowloris,4515,3904,196,0,415
Wednesday,nfstream,cicflowmeter-fixed,Heartbleed,1,0,1,0,0
Wednesday,nfstream,argus,ALL,337293,163061,0,130594,43638
Wednesday,nfstream,argus,BENIGN,306188,160100,0,102483,43605
Wednesday,nfstream,argus,DoS GoldenEye,7656,0,0,7656,0
Wednesday,nfstream,argus,DoS Hulk,14437,2952,0,11478,7
Wednesday,nfstream,argus,DoS Slowhttptest,4496,8,0,4488,0
Wednesday,nfstream,argus,DoS slowloris,4515,0,0,4489,26
Wednesday,nfstream,argus,Heartbleed,1,1,0,0,0
Wednesday,nfstream,go-flows,ALL,337293,296373,40861,3,56
Wednesday,nfstream,go-flows,BENIGN,306188,279523,26606,3,56
Wednesday,nfstream,go-flows,DoS GoldenEye,7656,7656,0,0,0
Wednesday,nfstream,go-flows,DoS Hulk,14437,182,14255,0,0
Wednesday,nfstream,go-flows,DoS Slowhttptest,4496,4496,0,0,0
Wednesday,nfstream,go-flows,DoS slowloris,4515,4515,0,0,0
Wednesday,nfstream,go-flows,Heartbleed,1,1,0,0,0
Wednesday,nfstream,yaf,ALL,337293,260472,37980,22398,16443
Wednesday,nfstream,yaf,BENIGN,306188,244568,23726,21462,16432
Wednesday,nfstream,yaf,DoS GoldenEye,7656,7492,0,164,0
Wednesday,nfstream,yaf,DoS Hulk,14437,165,14254,18,0
Wednesday,nfstream,yaf,DoS Slowhttptest,4496,4490,0,4,2
Wednesday,nfstream,yaf,DoS slowloris,4515,3756,0,750,9
Wednesday,nfstream,yaf,Heartbleed,1,1,0,0,0
Wednesday,nfstream,joy,ALL,337293,88037,62976,0,186280
Wednesday,nfstream,joy,BENIGN,306188,78785,41838,0,185565
Wednesday,nfstream,joy,DoS GoldenEye,7656,6880,767,0,9
Wednesday,nfstream,joy,DoS Hulk,14437,178,14245,0,14
Wednesday,nfstream,joy,DoS Slowhttptest,4496,296,3923,0,277
Wednesday,nfstream,joy,DoS slowloris,4515,1898,2202,0,415
Wednesday,nfstream,joy,Heartbleed,1,0,1,0,0
Wednesday,zeek,nfstream,ALL,509349,250220,250,192650,66229
Wednesday,zeek,nfstream,BENIGN,318193,237231,106,17632,63224
Wednesday,zeek,nfstream,DoS GoldenEye,7739,7565,9,163,2
Wednesday,zeek,nfstream,DoS Hulk,163452,178,1,163095,178
Wednesday,zeek,nfstream,DoS Slowhttptest,16062,1509,2,11753,2798
Wednesday,zeek,nfstream,DoS slowloris,3902,3736,132,7,27
Wednesday,zeek,nfstream,Heartbleed,1,1,0,0,0
Wednesday,zeek,tranalyzer,ALL,509349,457636,615,51008,90
Wednesday,zeek,tranalyzer,BENIGN,318193,290841,218,27052,82
Wednesday,zeek,tranalyzer,DoS GoldenEye,7739,7350,0,389,0
Wednesday,zeek,tranalyzer,DoS Hulk,163452,154586,397,8469,0
Wednesday,zeek,tranalyzer,DoS Slowhttptest,16062,965,0,15089,8
Wednesday,zeek,tranalyzer,DoS slowloris,3902,3893,0,9,0
Wednesday,zeek,tranalyzer,Heartbleed,1,1,0,0,0
Wednesday,zeek,cicflowmeter-orig,ALL,509349,120333,77377,24457,287182
Wednesday,zeek,cicflowmeter-orig,BENIGN,318193,69151,40065,2846,206131
Wednesday,zeek,cicflowmeter-orig,DoS GoldenEye,7739,4663,2843,153,80
Wednesday,zeek,cicflowmeter-orig,DoS Hulk,163452,42214,33568,9799,77871
Wednesday,zeek,cicflowmeter-orig,DoS Slowhttptest,16062,717,618,11655,3072
Wednesday,zeek,cicflowmeter-orig,DoS slowloris,3902,3588,282,4,28
Wednesday,zeek,cicflowmeter-orig,Heartbleed,1,0,1,0,0
Wednesday,zeek,cicflowmeter-fixed,ALL,509349,456448,10596,40576,1729
Wednesday,zeek,cicflowmeter-fixed,BENIGN,318193,289831,8965,18651,746
Wednesday,zeek,cicflowmeter-fixed,DoS GoldenEye,7739,7467,109,163,0
Wednesday,zeek,cicflowmeter-fixed,DoS Hulk,163452,154540,629,7778,505
Wednesday,zeek,cicflowmeter-fixed,DoS Slowhttptest,16062,1002,614,13975,471
Wednesday,zeek,cicflowmeter-fixed,DoS slowloris,3902,3608,278,9,7
Wednesday,zeek,cicflowmeter-fixed,Heartbleed,1,0,1,0,0
Wednesday,zeek,argus,ALL,509349,184783,0,324509,57
Wednesday,zeek,argus,BENIGN,318193,184774,0,133362,57
Wednesday,zeek,argus,DoS GoldenEye,7739,0,0,7739,0
Wednesday,zeek,argus,DoS Hulk,163452,0,0,163452,0
Wednesday,zeek,argus,DoS Slowhttptest,16062,8,0,16054,0
Wednesday,zeek,argus,DoS slowloris,3902,0,0,3902,0
Wednesday,zeek,argus,Heartbleed,1,1,0,0,0
Wednesday,zeek,go-flows,ALL,509349,315980,91424,35707,66238
Wednesday,zeek,go-flows,BENIGN,318193,216878,21134,16948,63233
Wednesday,zeek,go-flows,DoS GoldenEye,7739,7565,9,163,2
Wednesday,zeek,go-flows,DoS Hulk,163452,86291,70147,6836,178
Wednesday,zeek,go-flows,DoS Slowhttptest,16062,1509,2,11753,2798
Wednesday,zeek,go-flows,DoS slowloris,3902,3736,132,7,27
Wednesday,zeek,go-flows,Heartbleed,1,1,0,0,0
Wednesday,zeek,yaf,ALL,509349,298799,91162,54291,65097
Wednesday,zeek,yaf,BENIGN,318193,200175,21048,34909,62061
Wednesday,zeek,yaf,DoS GoldenEye,7739,7428,0,309,2
Wednesday,zeek,yaf,DoS Hulk,163452,85819,70114,7317,202
Wednesday,zeek,yaf,DoS Slowhttptest,16062,1508,0,11749,2805
Wednesday,zeek,yaf,DoS slowloris,3902,3868,0,7,27
Wednesday,zeek,yaf,Heartbleed,1,1,0,0,0
Wednesday,zeek,joy,ALL,509349,441745,48283,11245,8076
Wednesday,zeek,joy,BENIGN,318193,266496,41439,2219,8039
Wednesday,zeek,joy,DoS GoldenEye,7739,4632,2992,115,0
Wednesday,zeek,joy,DoS Hulk,163452,162907,371,173,1
Wednesday,zeek,joy,DoS Slowhttptest,16062,5891,1400,8735,36
Wednesday,zeek,joy,DoS slowloris,3902,1819,2080,3,0
Wednesday,zeek,joy,Heartbleed,1,0,1,0,0
Wednesday,tranalyzer,nfstream,ALL,479256,251557,4081,160440,63178
Wednesday,tranalyzer,nfstream,BENIGN,304325,236436,3359,1431,63099
Wednesday,tranalyzer,nfstream,DoS GoldenEye,7496,7414,82,0,0
Wednesday,tranalyzer,nfstream,DoS Hulk,159322,31,228,159009,54
Wednesday,tranalyzer,nfstream,DoS Slowhttptest,4217,3937,280,0,0
Wednesday,tranalyzer,nfstream,DoS slowloris,3895,3738,132,0,25
Wednesday,tranalyzer,nfstream,Heartbleed,1,1,0,0,0
Wednesday,tranalyzer,zeek,ALL,479256,457636,17812,1126,2682
Wednesday,tranalyzer,zeek,BENIGN,304325,290841,10412,441,2631
Wednesday,tranalyzer,zeek,DoS GoldenEye,7496,7350,146,0,0
Wednesday,tranalyzer,zeek,DoS Hulk,159322,154586,4000,685,51
Wednesday,tranalyzer,zeek,DoS Slowhttptest,4217,965,3252,0,0
Wednesday,tranalyzer,zeek,DoS slowloris,3895,3893,2,0,0
Wednesday,tranalyzer,zeek,Heartbleed,1,1,0,0,0
Wednesday,tranalyzer,cicflowmeter-orig,ALL,479256,121041,81970,7330,268915
Wednesday,tranalyzer,cicflowmeter-orig,BENIGN,304325,69998,41290,19,193018
