day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pub,nfstream,zeek,ALL,6272,4883,59,71,1259
monday-pub,nfstream,zeek,BENIGN,6272,4883,59,71,1259
monday-pub,nfstream,tranalyzer,ALL,6272,4863,6,210,1193
monday-pub,nfstream,tranalyzer,BENIGN,6272,4863,6,210,1193
monday-pub,nfstream,cicflowmeter-orig,ALL,6272,619,728,0,4925
monday-pub,nfstream,cicflowmeter-orig,BENIGN,6272,619,728,0,4925
monday-pub,nfstream,cicflowmeter-fixed,ALL,6272,4696,262,0,1314
monday-pub,nfstream,cicflowmeter-fixed,BENIGN,6272,4696,262,0,1314
monday-pub,nfstream,argus,ALL,6272,4351,0,784,1137
monday-pub,nfstream,argus,BENIGN,6272,4351,0,784,1137
monday-pub,nfstream,go-flows,ALL,6272,5800,464,0,8
monday-pub,nfstream,go-flows,BENIGN,6272,5800,464,0,8
monday-pub,nfstream,yaf,ALL,6272,5390,417,41,424
monday-pub,nfstream,yaf,BENIGN,6272,5390,417,41,424
monday-pub,nfstream,joy,ALL,6272,2181,624,0,3467
monday-pub,nfstream,joy,BENIGN,6272,2181,624,0,3467
monday-pub,zeek,nfstream,ALL,6473,4883,9,246,1335
monday-pub,zeek,nfstream,BENIGN,6473,4883,9,246,1335
monday-pub,zeek,tranalyzer,ALL,6473,6063,2,382,26
monday-pub,zeek,tranalyzer,BENIGN,6473,6063,2,382,26
monday-pub,zeek,cicflowmeter-orig,ALL,6473,591,668,118,5096
monday-pub,zeek,cicflowmeter-orig,BENIGN,6473,591,668,118,5096
monday-pub,zeek,cicflowmeter-fixed,ALL,6473,5827,203,146,297
monday-pub,zeek,cicflowmeter-fixed,BENIGN,6473,5827,203,146,297
monday-pub,zeek,argus,ALL,6473,5448,0,1016,9
monday-pub,zeek,argus,BENIGN,6473,5448,0,1016,9
monday-pub,zeek,go-flows,ALL,6473,4711,195,219,1348
monday-pub,zeek,go-flows,BENIGN,6473,4711,195,219,1348
monday-pub,zeek,yaf,ALL,6473,4671,192,154,1456
monday-pub,zeek,yaf,BENIGN,6473,4671,192,154,1456
monday-pub,zeek,joy,ALL,6473,5746,555,121,51
monday-pub,zeek,joy,BENIGN,6473,5746,555,121,51
monday-pub,tranalyzer,nfstream,ALL,6133,4863,18,28,1224
monday-pub,tranalyzer,nfstream,BENIGN,6133,4863,18,28,1224
monday-pub,tranalyzer,zeek,ALL,6133,6063,30,4,36
monday-pub,tranalyzer,zeek,BENIGN,6133,6063,30,4,36
monday-pub,tranalyzer,cicflowmeter-orig,ALL,6133,601,672,0,4860
monday-pub,tranalyzer,cicflowmeter-orig,BENIGN,6133,601,672,0,4860
monday-pub,tranalyzer,cicflowmeter-fixed,ALL,6133,5635,210,0,288
monday-pub,tranalyzer,cicflowmeter-fixed,BENIGN,6133,5635,210,0,288
monday-pub,tranalyzer,argus,ALL,6133,5458,0,638,37
monday-pub,tranalyzer,argus,BENIGN,6133,5458,0,638,37
monday-pub,tranalyzer,go-flows,ALL,6133,4680,216,0,1237
monday-pub,tranalyzer,go-flows,BENIGN,6133,4680,216,0,1237
monday-pub,tranalyzer,yaf,ALL,6133,4681,206,8,1238
monday-pub,tranalyzer,yaf,BENIGN,6133,4681,206,8,1238
monday-pub,tranalyzer,joy,ALL,6133,1822,539,23,3749
monday-pub,tranalyzer,joy,BENIGN,6133,1822,539,23,3749
monday-pub,cicflowmeter-orig,nfstream,ALL,8340,619,29,2415,5277
monday-pub,cicflowmeter-orig,nfstream,BENIGN,8340,619,29,2415,5277
monday-pub,cicflowmeter-orig,zeek,ALL,8340,591,19,2418,5312
monday-pub,cicflowmeter-orig,zeek,BENIGN,8340,591,19,2418,5312
monday-pub,cicflowmeter-orig,tranalyzer,ALL,8340,601,0,2431,5308
monday-pub,cicflowmeter-orig,tranalyzer,BENIGN,8340,601,0,2431,5308
monday-pub,cicflowmeter-orig,cicflowmeter-fixed,ALL,8340,1649,27,1266,5398
monday-pub,cicflowmeter-orig,cicflowmeter-fixed,BENIGN,8340,1649,27,1266,5398
monday-pub,cicflowmeter-orig,argus,ALL,8340,740,0,2335,5265
monday-pub,cicflowmeter-orig,argus,BENIGN,8340,740,0,2335,5265
monday-pub,cicflowmeter-orig,go-flows,ALL,8340,621,30,2388,5301
monday-pub,cicflowmeter-orig,go-flows,BENIGN,8340,621,30,2388,5301
monday-pub,cicflowmeter-orig,yaf,ALL,8340,615,31,2403,5291
monday-pub,cicflowmeter-orig,yaf,BENIGN,8340,615,31,2403,5291
